Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
128460,ET1016,Introduction to Engineering,3(2-2-0-6),1,2,1505-1645,4,5,1-8|10-17,D8-202,NULL,LT+BT
128460,ET1016,Introduction to Engineering,3(2-2-0-6),2,6,1410-1550,3,4,1-8|10-17,D8-304,NULL,LT+BT
128459,ET2000E,Introduction to Electrical and Electronic Engineering,3(2-0-2-6),1,4,1230-1400,1,2,1-8|10-17,D6-303,NULL,LT+BT
128829,ET2010,Electronic Engineering,3(3-0-1-6),1,6,0645-0910,1,3,1-8|10-17,TC-211,TN,LT+BT
713290,ET2010,Electronic Engineering,3(3-0-1-6),1,2,0920-1145,920,1145,6,Online,NULL,TN
713290,ET2010,Electronic Engineering,3(3-0-1-6),2,2,0920-1145,920,1145,12|16,C9-306,NULL,TN
713291,ET2010,Electronic Engineering,3(3-0-1-6),1,3,0920-1145,920,1145,6,Online,NULL,TN
713291,ET2010,Electronic Engineering,3(3-0-1-6),2,3,0920-1145,920,1145,12|16,C9-306,NULL,TN
713292,ET2010,Electronic Engineering,3(3-0-1-6),1,2,0920-1145,920,1145,6,Online,NULL,TN
713292,ET2010,Electronic Engineering,3(3-0-1-6),2,2,0920-1145,920,1145,12|16,T-307,NULL,TN
713293,ET2010,Electronic Engineering,3(3-0-1-6),1,3,0920-1145,920,1145,6,Online,NULL,TN
713293,ET2010,Electronic Engineering,3(3-0-1-6),2,3,0920-1145,920,1145,12|16,T-307,NULL,TN
128188,ET2012,Electronic Engineering,2(2-0-1-4),1,3,1410-1550,3,4,1-8|10-17,D6-403,TN,LT+BT
129408,ET2012,Electronic Engineering,2(2-0-1-4),1,5,1230-1400,1,2,1-8|10-17,D5-503,TN,LT+BT
129425,ET2012,Electronic Engineering,2(2-0-1-4),1,3,1230-1400,1,2,1-8|10-17,D5-504,TN,LT+BT
129426,ET2012,Electronic Engineering,2(2-0-1-4),1,3,1410-1550,3,4,1-8|10-17,D5-504,TN,LT+BT
129427,ET2012,Electronic Engineering,2(2-0-1-4),1,3,1600-1730,5,6,1-8|10-17,D5-504,TN,LT+BT
129428,ET2012,Electronic Engineering,2(2-0-1-4),1,5,1230-1400,1,2,1-8|10-17,D5-405,TN,LT+BT
129429,ET2012,Electronic Engineering,2(2-0-1-4),1,5,1410-1550,3,4,1-8|10-17,D5-405,TN,LT+BT
129430,ET2012,Electronic Engineering,2(2-0-1-4),1,5,1600-1730,5,6,1-8|10-17,D5-405,TN,LT+BT
713294,ET2012,Electronic Engineering,2(2-0-1-4),1,2,0920-1145,920,1145,4,Online,NULL,TN
713294,ET2012,Electronic Engineering,2(2-0-1-4),2,2,0920-1145,920,1145,10|14,C9-306,NULL,TN
713295,ET2012,Electronic Engineering,2(2-0-1-4),1,2,0920-1145,920,1145,4,Online,NULL,TN
